date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
23:17:54	8841/8841	---M--	200	added ('OK')	text/html	etag:%225cbec63e-2289%22	http://ninja.allexample.com/SessionParam-1.html	D:/webdownload/ninja/ninja.allexample.com/SessionParam-1.html	(from http://ninja.allexample.com/SessionParam.html)
23:17:54	3251/3251	---M--	200	added ('OK')	text/html	etag:%225cbec65a-cb3%22	http://ninja.allexample.com/index.html-ninja-params-SessionParam.html	D:/webdownload/ninja/ninja.allexample.com/index.html-ninja-params-SessionParam.html	(from http://ninja.allexample.com/SessionParam.html)
23:17:55	19527/19527	---M--	200	added ('OK')	text/html	etag:%225cbec63d-4c47%22	http://ninja.allexample.com/SourceSnippet-1.html	D:/webdownload/ninja/ninja.allexample.com/SourceSnippet-1.html	(from http://ninja.allexample.com/SourceSnippet.html)
23:17:55	3251/3251	---M--	200	added ('OK')	text/html	etag:%225cbec65f-cb3%22	http://ninja.allexample.com/index.html-ninja-diagnostics-SourceSnippet.html	D:/webdownload/ninja/ninja.allexample.com/index.html-ninja-diagnostics-SourceSnippet.html	(from http://ninja.allexample.com/SourceSnippet.html)
23:17:55	6782/6782	---M--	200	added ('OK')	text/html	etag:%225cbec63d-1a7e%22	http://ninja.allexample.com/SourceSnippetHelper-1.html	D:/webdownload/ninja/ninja.allexample.com/SourceSnippetHelper-1.html	(from http://ninja.allexample.com/SourceSnippetHelper.html)
23:17:55	3251/3251	---M--	200	added ('OK')	text/html	etag:%225cbec65f-cb3%22	http://ninja.allexample.com/index.html-ninja-diagnostics-SourceSnippetHelper.html	D:/webdownload/ninja/ninja.allexample.com/index.html-ninja-diagnostics-SourceSnippetHelper.html	(from http://ninja.allexample.com/SourceSnippetHelper.html)
23:17:56	15879/15879	---M--	200	added ('OK')	text/html	etag:%225cbec63d-3e07%22	http://ninja.allexample.com/Standalone-1.html	D:/webdownload/ninja/ninja.allexample.com/Standalone-1.html	(from http://ninja.allexample.com/Standalone.html)
23:17:56	3251/3251	---M--	200	added ('OK')	text/html	etag:%225cbec659-cb3%22	http://ninja.allexample.com/index.html-ninja-standalone-Standalone.html	D:/webdownload/ninja/ninja.allexample.com/index.html-ninja-standalone-Standalone.html	(from http://ninja.allexample.com/Standalone.html)
23:17:56	6700/6700	---M--	200	added ('OK')	text/html	etag:%225cbec63d-1a2c%22	http://ninja.allexample.com/StandaloneHelper-1.html	D:/webdownload/ninja/ninja.allexample.com/StandaloneHelper-1.html	(from http://ninja.allexample.com/StandaloneHelper.html)
23:17:56	3251/3251	---M--	200	added ('OK')	text/html	etag:%225cbec659-cb3%22	http://ninja.allexample.com/index.html-ninja-standalone-StandaloneHelper.html	D:/webdownload/ninja/ninja.allexample.com/index.html-ninja-standalone-StandaloneHelper.html	(from http://ninja.allexample.com/StandaloneHelper.html)
23:17:57	11641/11641	---M--	200	added ('OK')	text/html	etag:%225cbec63d-2d79%22	http://ninja.allexample.com/Start-1.html	D:/webdownload/ninja/ninja.allexample.com/Start-1.html	(from http://ninja.allexample.com/Start.html)
23:17:57	3251/3251	---M--	200	added ('OK')	text/html	etag:%225cbec65e-cb3%22	http://ninja.allexample.com/index.html-ninja-lifecycle-Start.html	D:/webdownload/ninja/ninja.allexample.com/index.html-ninja-lifecycle-Start.html	(from http://ninja.allexample.com/Start.html)
